iter	Passed	Remaining
349	361408	464667
350	362524	463741
351	363618	462787
352	364565	461644
353	365498	460487
354	366441	459341
355	367401	458220
356	368588	457380
357	369773	456536
358	370695	455366
359	371717	454321
360	372692	453218
361	373604	452040
362	374542	450895
363	375656	449962
364	376643	448876
365	377578	447729
366	378507	446576
367	379581	445595
368	380596	444544
369	381598	443479
370	382599	442413
371	383505	441237
372	384659	440347
373	385734	439365
374	386867	438449
375	388077	437619
376	389005	436470
377	390130	435541
378	391042	434377
379	392153	433433
380	393290	432516
381	394242	431396
382	395362	430460
383	396398	429431
384	397474	428446
385	398420	427321
386	399329	426157
387	400306	425067
388	401301	423997
389	402190	422815
390	403164	421724
391	404274	420775
392	405254	419691
393	406464	418843
394	407569	417887
395	408558	416812
396	409492	415681
397	410582	414709
